id_number,age,birth_year,country,ranking,prefix,full_name,first_name,last_name,first_last_name,second_last_name
1,44.0,1980.0,Paraguay,MID,,María Sánchez,María,Sánchez,Sánchez,
2,70.0,1954.0,Paraguay,LOWER,,Marta Alonso,Marta,Alonso,Alonso,
3,47.0,1977.0,México,LOWER,,Javier González,Javier,González,González,
4,60.0,1964.0,Uruguay,UPPER,,Carmen López López,Carmen,López López,López,López
5,61.0,1963.0,México,UPPER,,Isabel Moreno Moreno,Isabel,Moreno Moreno,Moreno,Moreno
6,-1.0,0.0,Unknown,LOWER,,María Alonso Ruiz,María,Alonso Ruiz,Alonso,Ruiz
7,32.0,1992.0,Brasil,UPPER,Col,Ana González Muñoz,Ana,González Muñoz,González,Muñoz
8,73.0,1951.0,Brasil,UPPER,,Carmen Díaz,Carmen,Díaz,Díaz,
9,32.0,1992.0,Paraguay,LOWER,,Pablo Hernández Gutiérrez,Pablo,Hernández Gutiérrez,Hernández,Gutiérrez
10,55.0,1969.0,Paraguay,UPPER,,Luis López Hernández,Luis,López Hernández,López,Hernández
11,66.0,1958.0,Paraguay,LOWER,,Lucía Martín Gómez,Lucía,Martín Gómez,Martín,Gómez
12,50.0,1974.0,Brasil,UPPER,,María Alonso Romero,María,Alonso Romero,Alonso,Romero
13,,,,,,Ana González Muñoz,Ana,González Muñoz,González,Muñoz
14,40.0,1984.0,Argentina,LOWER,Mg,Pablo Álvarez Hernández,Pablo,Álvarez Hernández,Álvarez,Hernández
15,45.0,1979.0,Uruguay,MID,,Marta Pérez,Marta,Pérez,Pérez,
16,,,,,,Luis Álvarez Ruiz,Luis,Álvarez Ruiz,Álvarez,Ruiz
17,49.0,1975.0,Brasil,LOWER,,María Jiménez,María,Jiménez,Jiménez,
18,77.0,1947.0,Paraguay,MID,,Pilar Jiménez Gómez,Pilar,Jiménez Gómez,Jiménez,Gómez
19,58.0,1966.0,Chile,UPPER,,Francisco Álvarez,Francisco,Álvarez,Álvarez,
20,,,,,,Luis Jiménez,Luis,Jiménez,Jiménez,
21,-1.0,0.0,Paraguay,LOWER,,Lucía López,Lucía,López,López,
22,37.0,1987.0,México,LOWER,,Isabel Rodríguez García,Isabel,Rodríguez García,Rodríguez,García
23,76.0,1948.0,Brasil,MID,,Carlos Romero Martín,Carlos,Romero Martín,Romero,Martín
24,68.0,1956.0,Uruguay,UPPER,,Sofía Díaz,Sofía,Díaz,Díaz,
25,50.0,1974.0,Argentina,UPPER,,Marta Sánchez,Marta,Sánchez,Sánchez,
26,52.0,1972.0,Chile,UPPER,,Isabel Romero,Isabel,Romero,Romero,
27,,,,,,Luis Hernández,Luis,Hernández,Hernández,
28,81.0,1943.0,Chile,UPPER,,María Martínez,María,Martínez,Martínez,
29,,,,,,Elena Hernández,Elena,Hernández,Hernández,
30,73.0,1951.0,Brasil,LOWER,,Rafael López,Rafael,López,López,
31,19.0,2005.0,Uruguay,MID,,Marta Martín Martínez,Marta,Martín Martínez,Martín,Martínez
32,54.0,1970.0,Argentina,LOWER,,Sofía Martínez Gómez,Sofía,Martínez Gómez,Martínez,Gómez
33,69.0,1955.0,Brasil,UPPER,,Isabel Sánchez Ruiz,Isabel,Sánchez Ruiz,Sánchez,Ruiz
34,,,,,,María García Alonso,María,García Alonso,García,Alonso
35,-1.0,0.0,Paraguay,UPPER,,Pilar Hernández,Pilar,Hernández,Hernández,
36,57.0,1967.0,Argentina,LOWER,,Carmen Díaz,Carmen,Díaz,Díaz,
37,52.0,1972.0,México,LOWER,,María Sánchez,María,Sánchez,Sánchez,
38,46.0,1978.0,Uruguay,MID,,Lucía Díaz Jiménez,Lucía,Díaz Jiménez,Díaz,Jiménez
39,,,,,,Rafael Rodríguez Martín,Rafael,Rodríguez Martín,Rodríguez,Martín
40,49.0,1975.0,Brasil,UPPER,,Isabel Pérez Ruiz,Isabel,Pérez Ruiz,Pérez,Ruiz
41,70.0,1954.0,Brasil,MID,Sra,Fernando Díaz Álvarez,Fernando,Díaz Álvarez,Díaz,Álvarez
42,-1.0,0.0,Brasil,LOWER,,Elena Romero,Elena,Romero,Romero,
43,75.0,1949.0,Unknown,UPPER,,Lucía Sánchez Sánchez,Lucía,Sánchez Sánchez,Sánchez,Sánchez
44,72.0,1952.0,Paraguay,LOWER,,Carmen García,Carmen,García,García,
45,,,,,Lic,Francisco Álvarez Romero,Francisco,Álvarez Romero,Álvarez,Romero
46,,,,,,Pilar Alonso,Pilar,Alonso,Alonso,
47,84.0,1940.0,Chile,UPPER,Dr,Ana Álvarez Fernández,Ana,Álvarez Fernández,Álvarez,Fernández
48,,,,,,Rafael Martínez Gómez,Rafael,Martínez Gómez,Martínez,Gómez
49,35.0,1989.0,Paraguay,MID,,Pedro Alonso,Pedro,Alonso,Alonso,
50,,,,,,Javier Fernández Hernández,Javier,Fernández Hernández,Fernández,Hernández
51,73.0,1951.0,Argentina,LOWER,,Pablo Fernández Fernández,Pablo,Fernández Fernández,Fernández,Fernández
52,,,,,,María Díaz,María,Díaz,Díaz,
53,,,,,,Pedro Alonso,Pedro,Alonso,Alonso,
54,77.0,1947.0,Argentina,LOWER,,Teresa Álvarez Gómez,Teresa,Álvarez Gómez,Álvarez,Gómez
55,32.0,1992.0,Uruguay,LOWER,Dr,Ana Romero,Ana,Romero,Romero,
56,76.0,1948.0,Argentina,MID,,María Hernández,María,Hernández,Hernández,
57,74.0,1950.0,México,MID,,Rafael García,Rafael,García,García,
58,63.0,1961.0,Argentina,MID,,Ana Martín,Ana,Martín,Martín,
59,,,,,,Pedro Fernández Rodríguez,Pedro,Fernández Rodríguez,Fernández,Rodríguez
60,36.0,1988.0,Brasil,UPPER,,Pablo Gutiérrez Pérez,Pablo,Gutiérrez Pérez,Gutiérrez,Pérez
61,58.0,1966.0,Paraguay,MID,,Pedro González Pérez,Pedro,González Pérez,González,Pérez
62,,,,,,Pablo Ruiz Hernández,Pablo,Ruiz Hernández,Ruiz,Hernández
63,24.0,2000.0,Uruguay,MID,,Carlos Pérez,Carlos,Pérez,Pérez,
64,-1.0,0.0,Argentina,LOWER,,Pilar Sánchez,Pilar,Sánchez,Sánchez,
65,53.0,1971.0,Paraguay,LOWER,,Juan Muñoz,Juan,Muñoz,Muñoz,
66,,,,,,Carlos Álvarez,Carlos,Álvarez,Álvarez,
67,41.0,1983.0,Uruguay,LOWER,,Luis Díaz,Luis,Díaz,Díaz,
68,27.0,1997.0,Uruguay,MID,Dr,Teresa Díaz,Teresa,Díaz,Díaz,
69,81.0,1943.0,Unknown,LOWER,,Pablo Romero Moreno,Pablo,Romero Moreno,Romero,Moreno
70,75.0,1949.0,México,MID,Lic,Marta Rodríguez,Marta,Rodríguez,Rodríguez,
71,86.0,1938.0,Chile,UPPER,,María Alonso Alonso,María,Alonso Alonso,Alonso,Alonso
72,-1.0,0.0,Paraguay,UPPER,,Pedro López Alonso,Pedro,López Alonso,López,Alonso
73,-1.0,0.0,Argentina,LOWER,,Rafael Romero,Rafael,Romero,Romero,
74,86.0,1938.0,Chile,LOWER,,José Jiménez Jiménez,José,Jiménez Jiménez,Jiménez,Jiménez
75,76.0,1948.0,Chile,UPPER,,Marta Gómez,Marta,Gómez,Gómez,
76,,,,,,Lucía Ruiz Gutiérrez,Lucía,Ruiz Gutiérrez,Ruiz,Gutiérrez
77,38.0,1986.0,Argentina,LOWER,,Javier Alonso Moreno,Javier,Alonso Moreno,Alonso,Moreno
78,65.0,1959.0,Uruguay,MID,,José Alonso,José,Alonso,Alonso,
79,-1.0,0.0,Brasil,UPPER,,Javier Sánchez Martínez,Javier,Sánchez Martínez,Sánchez,Martínez
80,69.0,1955.0,Uruguay,MID,,Luis Muñoz Sánchez,Luis,Muñoz Sánchez,Muñoz,Sánchez
81,-1.0,0.0,Uruguay,LOWER,,Juan Díaz García,Juan,Díaz García,Díaz,García
82,,,,,,Javier Gutiérrez,Javier,Gutiérrez,Gutiérrez,
83,58.0,1966.0,Chile,UPPER,,Carlos Jiménez,Carlos,Jiménez,Jiménez,
84,,,,,,María Pérez,María,Pérez,Pérez,
85,41.0,1983.0,Uruguay,UPPER,,Carlos Muñoz,Carlos,Muñoz,Muñoz,
86,-1.0,0.0,Argentina,LOWER,,Rafael Muñoz,Rafael,Muñoz,Muñoz,
87,71.0,1953.0,Brasil,LOWER,,Carlos Moreno,Carlos,Moreno,Moreno,
88,42.0,1982.0,Chile,MID,,Pilar Martínez García,Pilar,Martínez García,Martínez,García
89,,,,,,María Romero Martín,María,Romero Martín,Romero,Martín
90,68.0,1956.0,Uruguay,MID,,María Ruiz Muñoz,María,Ruiz Muñoz,Ruiz,Muñoz
91,35.0,1989.0,Argentina,UPPER,,Marta Fernández,Marta,Fernández,Fernández,
92,31.0,1993.0,Uruguay,UPPER,,Sofía Díaz Rodríguez,Sofía,Díaz Rodríguez,Díaz,Rodríguez
93,54.0,1970.0,Brasil,MID,Dr,Javier López,Javier,López,López,
94,-1.0,0.0,Uruguay,LOWER,,Carlos Álvarez Fernández,Carlos,Álvarez Fernández,Álvarez,Fernández
95,67.0,1957.0,Paraguay,UPPER,,Javier Fernández,Javier,Fernández,Fernández,
96,,,,,,María Romero,María,Romero,Romero,
97,,,,,,Isabel Romero López,Isabel,Romero López,Romero,López
98,,,,,,Juan Díaz,Juan,Díaz,Díaz,
99,,,,,,Francisco Jiménez,Francisco,Jiménez,Jiménez,
100,81.0,1943.0,Argentina,LOWER,Col,Isabel Hernández Ruiz,Isabel,Hernández Ruiz,Hernández,Ruiz
101,67.0,1957.0,Paraguay,LOWER,,Marta Pérez Alonso,Marta,Pérez Alonso,Pérez,Alonso
102,52.0,1972.0,Chile,MID,,Pablo Romero Ruiz,Pablo,Romero Ruiz,Romero,Ruiz
103,59.0,1965.0,Uruguay,MID,,Juan Ruiz,Juan,Ruiz,Ruiz,
104,-1.0,0.0,Uruguay,MID,,José Hernández Romero,José,Hernández Romero,Hernández,Romero
105,85.0,1939.0,Chile,LOWER,,Lucía Martín Gutiérrez,Lucía,Martín Gutiérrez,Martín,Gutiérrez
106,74.0,1950.0,Brasil,UPPER,,Juan Ruiz,Juan,Ruiz,Ruiz,
107,-1.0,0.0,Unknown,LOWER,,Pedro García Jiménez,Pedro,García Jiménez,García,Jiménez
108,59.0,1965.0,México,UPPER,,Rafael Sánchez Gómez,Rafael,Sánchez Gómez,Sánchez,Gómez
109,82.0,1942.0,Chile,MID,,Ana Rodríguez Sánchez,Ana,Rodríguez Sánchez,Rodríguez,Sánchez
110,37.0,1987.0,Brasil,MID,Sr,Fernando Gómez,Fernando,Gómez,Gómez,
111,40.0,1984.0,Unknown,UPPER,Dr,Ana Gutiérrez Moreno,Ana,Gutiérrez Moreno,Gutiérrez,Moreno
112,-1.0,0.0,Argentina,LOWER,,Ana Álvarez Díaz,Ana,Álvarez Díaz,Álvarez,Díaz
113,,,,,,Pedro Fernández González,Pedro,Fernández González,Fernández,González
114,,,,,,Javier Sánchez Fernández,Javier,Sánchez Fernández,Sánchez,Fernández
115,76.0,1948.0,Uruguay,MID,,Carmen Martín González,Carmen,Martín González,Martín,González
